Category,Method,AnomalyType,AUROC
bottle,PUAD,broken_large,100.0
bottle,PUAD,broken_small,100.0
bottle,PUAD,contamination,99.762
cable,PUAD,bent_wire,99.867
cable,PUAD,cable_swap,99.856
cable,PUAD,combined,99.687
cable,PUAD,cut_inner_insulation,97.783
cable,PUAD,cut_outer_insulation,97.931
cable,PUAD,missing_cable,100.0
cable,PUAD,missing_wire,97.414
cable,PUAD,poke_insulation,87.931
capsule,PUAD,crack,98.11
capsule,PUAD,faulty_imprint,99.209
capsule,PUAD,poke,98.137
capsule,PUAD,scratch,95.085
capsule,PUAD,squeeze,100.0
pill,PUAD,color,99.692
pill,PUAD,combined,100.0
pill,PUAD,contamination,100.0
pill,PUAD,crack,93.491
pill,PUAD,faulty_imprint,98.988
pill,PUAD,pill_type,100.0
pill,PUAD,scratch,96.474
grid,PUAD,bent,100.0
grid,PUAD,broken,100.0
grid,PUAD,glue,100.0
grid,PUAD,metal_contamination,100.0
grid,PUAD,thread,100.0
